Assunto,Tipo de pedido,Detalhamento
"solicito a manutenção asfáltica na Avenida João XXIII com a Rua Julimar de Souza Paulo, altura do número 235, Bairro - César de Souza.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito a manutenção asfáltica na manutenção asfáltica na Rua Jaime Ângelo Nogueira, altura do número 80, Bairro - Parque Santana.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito os estudos para a supressão de árvore na Avenida Vereador Antônio Teixeira Muniz, altura do número 132, Bairro - César de Souza.",SERVIÇO,Poda de Árvore - SMAPA
"solicito a poda e limpeza em terreno na esquina entre as Ruas Francisco Alves dos Anjos e Pedro Ramos Júlio, Bairro - Vila Santana.",VISTORIA,Manutenção em Terreno particular - SMSEG
"solicito a interdição da Rua Lourenço Della Nina, entre os números 17 a 664, situada entre as Ruas Lucinda Bastos e a Rua Pedro Paulo dos Santos, para a Festa Junina Comunitária, a se realizar no dia 26 de julho das 18h às 00h.",EVENTO,Fechamento de rua
"solicito a implantação de redutores de velocidade na Rua Alfredo Crestana, número 785, Bairro – Jundiapeba.",IMPLANTAÇÃO,Implantação de Redutor de Velocidade
"solicito os serviços de pintura de guia rebaixada situada na Rua Julimar de Souza Paulo, número 151, Bairro – Jardim São Pedro.",SERVIÇO,Manutenção Guias/Sarjetas - SMSUZ
"solicito os serviços de pintura da guia rebaixada na Rua Julimar de Souza Paulo, número 151, Bairro – Jardim São Pedro.",SERVIÇO,Manutenção Guias/Sarjetas - SMSUZ
"solicito os serviços de limpeza no córrego que percorre os fundos das Ruas Barra Velha e Bragança Paulista, Bairro – Jardim Piatã II.",SERVIÇO,Manutenção córrego/Dessasoreamento - SMSUZ
solicito a realização da Gincana Escolar Sustentável com Coleta Seletiva.,SERVIÇO,Outros
"solicito o reforço de segurança nos bairros Mogi Moderno, Vila Rachel e adjacências.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicito os estudos para implantação de dispositivos para proibição de estacionamento na Rua Isidoro de Paula Boucault, Bairro - Mogi Moderno.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"solicito os estudos para execução de obras para conter erosão na Viela Quatro, altura do número 38, Bairro - Vila Natal.",SERVIÇO,Outros
"solicito que o proprietário do terreno situado na Avenida Francisco Rodrigues Filho, entre os números 3838 e 5961, sentido Bairro-Centro, seja notificado a realizar a limpeza do local.",VISTORIA,Manutenção em Terreno particular - SMSEG
solicito os estudos para construção de um centro de tratamento de diabetes.,ATENDIMENTO,Secretaria de Saúde
solicito a implantação de um Indicador Municipal de Gasto Social com a Primeira Infância.,ATENDIMENTO,Outros
"solciito a implantação de embarque e desembarque na Avenida Expedicionário José Barca, número 182, e estacionamento da Única.",VISTORIA,Manutenção em Terreno particular - SMSEG
solicito implantação de bibliotecas comunitárias.,IMPLANTAÇÃO,Outros
solicito a implantação de vídeo monitoramento em todas as escolas públicas e privadas.,SERVIÇO,Outros
solicito a implantação de ECOPONTO no Jd. Nove de Julho,IMPLANTAÇÃO,Outros
"solicito a ampliação da coleta seletiva contemplando a Rua João José da Costa Neves Filho, Bairro – Jardim Náutico.",SERVIÇO,Coleta de Lixo/Entulho - SMSUZ
solciito a inclusão de temas educativos voltado ao bem-estar animal aos alunos da rede municipal de ensino.,SERVIÇO,Outros
"solicito inserir no Programa Rua + Feliz, agendamento de castração, ponto de arrecadação de ração, coleta/descarte de lâmpadas, pilhas, baterias, coleta/descarte de medicamentos, coleta/descarte óleo de cozinha.",ATENDIMENTO,Zoonoses - SMS
"solicito melhorias na infraestrutura de recreação na Creche Vitória II, Bairro -Taiaçupeba.",SERVIÇO,Manutenção Unidade Escolar - SME
"solicito a implantação de faixa de pedestres e semáforo na Avenida Francisco Ferreira Lopes, número 4303, Bairro - Vila Jundiaí.",IMPLANTAÇÃO,Implantação de Faixa de Pedestres - SMMT
"solicito a implantação de iluminação pública por toda extensão da Rua Aleluia, Bairro - Botujuru.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
solicito a manutenção da quadra poliesportiva do Parque Leon Feffer,SERVIÇO,Manutenção Quadras/Campos - SMEL
"solicito a implantação de ponto abrigo de ônibus nos dois sentidos das Estrada das Varinhas, altura do número 1286, Bairro - Jardim Piatã.",IMPLANTAÇÃO,Implantação de Abrigo de ônibus - SMMT
solicito a inclusão de canal de informação referente a ação de mutirão de castração realizadas pelo castra móvel.,ATENDIMENTO,Outros
solcito a instalação de espaço kids das dependências do Núcleo do Bem-estar Animal.,IMPLANTAÇÃO,Outros
solicito os estudos para criação de um Centro de Triagem e Reabilitação de Animais Silvestre.,IMPLANTAÇÃO,Outros
"solicito o fechamento parcial da Rua Carlos de Carvalho entre os números 21 a 85, Bairro – Vila Natal, para evento religioso a se realizar no dia 26 de julho das 18h às 23h.",EVENTO,Fechamento de rua
"solicito a organização e manutenção dos fios no poste situado na Rua dos Vicentinos, número 1973, Bairro – Vila Natal.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
solicito a adequação de linhas de ônibus que atendam diretamente o Bairro – Vila Pomar com direção ao Terminal Estudantes.,VISTORIA,Itinerário de ônibus - SMMT
"solicito a manutenção na iluminação pública por toda a extensão da Avenida Almerinda Villela, Bairro – Vila São Francisco.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"Solicito a utilização da praça Glauce Fernandes situada na Rua Comendador Koheiji Adachi, número 317, Bairro – Jardim Santos Dumont I..",SERVIÇO,Manutenção Praça/Parques - SMSUZ
"solciito o serviço de Castramovél no evento Compartilhando Amor, no Parque Centenário situado na Avenida Francisco Rodrigues Filho, Bairro – Cesar de Souza, a se realizar no dia 26 de julho de 2025, das 08h às 18h",EVENTO,Serviços Evento - SMEL
"solicito o aumento da ronda da guarda municipal na praça Glauce Fernandes situada na Rua Comendador Koheiji Adachi, número 317, Bairro – Jardim Santos Dumont.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicito a revitalização de sinalização na Rua Manoel Joaquim Barbosa, número 115, Bairro – Vila Vitória.",SERVIÇO,Manutenção Sinalização viária - SMMT
"solicito o serviço de poda de árvore situada na Rua Joaquim Rama Forte, altura do número 110, Bairro – Jardim Aracy.",SERVIÇO,Poda de Árvore - SMAPA
"solicitro o serviço de vacinação de cães e gatos no evento Compartilhando Amor, no Parque Centenário situado na Avenida Francisco Rodrigues Filho, Bairro – Cesar de Souza, a se realizar no dia 26 de julho de 2025, das 08h às 18h.",ATENDIMENTO,Zoonoses - SMS
"solciito a instalação de um espelho convexo situado na esquina da Rua Ubijara de Barros Gomes Martins com a Avenida Álvar de Campos Carneiro, Bairro – Conjunto Jardim Primavera.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"solicito que o proprietário do terreno baldio situado na esquina da Rua Cel. Cardoso de Siqueira com a Rua Joaquim Martins Coelho, seja notificado a realizar as cabíveis providencias referente ao poço aberto.",VISTORIA,Manutenção em Terreno particular - SMSEG
"solicito o serviço de manutenção da grelha e a desobstrução do bueiro situado na Rua Jean Batiste Debret, em frente ao condomínio Eco Plaza, número 123, Bairro – Nova Mogilar.",SERVIÇO,Manutenção Boca de lobo/tampa de bueiro - SMUZ
"Solicito a supressão da árvore situada na Rua de Colores, número 874, Bairro – Vila Oliveira.",SERVIÇO,Poda de Árvore - SMAPA
"solicito a realização de rondas regulares na Rua Martim Afonso de Souza e Avenida Antônio de Almeida, Bairro – Jardim Marica.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicito a supressão da árvore situada na Avenida Luciano Frezato, número 73, Bairro – Mogilar..",SERVIÇO,Poda de Árvore - SMAPA
"solicito a autorização para o uso da Praça Largo do Rosário, situada na Rua Doutor Paulo Frontin, a se realizar no dia 08 de setembro, das 12h às 18h",EVENTO,Uso de Praça - SMMT
"solicito a autorização para o uso da Praça Largo do Rosário, situada na Rua Doutor Paulo Frontin, a se realizar no dia 08 de setembro, das 12h às 18h",EVENTO,Uso de Praça - SMMT
"solicito o aumento e reforço da Guarda Municipal na Rua General Longo, Bairro – Jardim Aeroporto III.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicito a intensificação das rondas da Guarda Municipal, na Rua Carlos Chagas, Bairro – Cesar de Souza.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicitoa limpeza e retirada de entulhos ao final da Rua Antônio Barbosa, altura do número 95, Bairro – Vila Natal.",SERVIÇO,Coleta de Lixo/Entulho - SMSUZ
"solicito o serviço de tapa buraco por toda a extensão da Estrada Cinco Estrelas, Bairro – Botujuru, Vila São Paulo.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solciito a interdição da Rua Professora Lucinda Bastos, entre os números 910 e 970, entre as Ruas Tenente Manoel Alves dos Anjos e Benedicta Pereira Franco, para Festa Julina Solidária, a se realizar no dia 19 de julho, das 19h às 00h.",EVENTO,Fechamento de rua
"solicito a implantação de uma boca de lobo na Rua José Pereira, número 1507 com a Rua Otacílio Barbosa de Góes, Bairro – Jundiapeba.",IMPLANTAÇÃO,Implantação de Boca de lobo - SMSUZ
"solicito os serviços de instalação de um braço de iluminação no poste situado na Avenida Alfredo Crestana, entre os postes de números 20755 e 20756, Bairro - Jundiapeba",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicito os serviços de nivelamento e sarjeta junto a Avenida Venezuela, em frente ao número 31-C, Distrito – Jundiapeba",SERVIÇO,Manutenção Guias/Sarjetas - SMSUZ
"solicito a implantação de barras limitadores na Rua Cabo Diogo Oliver, número 394, Bairro – Vila Mogilar.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"solciito os serviços de implantação de redutor de velocidade tipo lombada e faixa de pedestres na Rua Desidério Jorge, de frente ao portão de entrada e saída da Escola Estadual Vereador Narciso Yague Guimarães, Bairro – Vila Natal.",IMPLANTAÇÃO,Implantação de Redutor de Velocidade
"solicito os serviços de tapa buraco na Rua Aloísio de Azevedo, altura do número 181, Bairro – Jardim das Bandeiras.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicitoos serviços de tapa buraco na Rua Aloísio de Azevedo, altura do número 181, Bairro – Jardim das Bandeiras.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicito uma base móvel e o aumento das rondas da Polícia, próxima aos condomínios do Jardim Maricá/Rodeio.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
solicito o aumento das rondas da Guarda Municipal no Bairro – Jardim Rodeio.,VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicito a revitalização e pintura da faixa de pedestres na Rua Professora Lucinda Bastos, Bairro – Jundiapeba.",SERVIÇO,Manutenção Sinalização viária - SMMT
"solicito as rondas intensivas pela Guarda Municipal na Região Farma Conde, situada na Rua Professora Eliane Hiratsuka, número 1801, Bairro – Rodeio.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicito a pavimentação da Rua Francisco Cândido Xavier, Bairro – Fazendo Capelinha.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito limpeza dos bueiros situados na Rua Doutor Gabriel Prestes com a Rua Oscar Thompson, Bairro – Mogi Moderno.",SERVIÇO,Manutenção Boca de lobo/tampa de bueiro - SMUZ
"solicito a limpeza dos bueiros situados na Rua Doutor Gabriel Prestes com a Rua Oscar Tompson, Bairro – Mogi Moderno.",SERVIÇO,Manutenção Boca de lobo/tampa de bueiro - SMUZ
"solciito os serviços de implantação de redutor de velocidade tipo lombada e faixa de pedestres na Rua Desidério Jorge, de frente ao portão de entrada e saída da Escola Estadual Vereador Narciso Yague Guimarães, Bairro – Vila Natal.",VISTORIA,Itinerário de ônibus - SMMT
"solicito o pedido de pavimentação da Rua José Vieira, altura do número 51, Bairro – Jardim Vieira.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito a limpeza e poda na praça situada na Rua Menotti Del Picha, Bairro – Parque Residencial Itapeti.",SERVIÇO,Manutenção Praça/Parques - SMSUZ
"solicito o serviço de limpeza e poda de mato na praça situada na Rua Hildebrando Álvares Paranhos, na divisa com a Rua Juraci, Bairro – Vila Cintra.",SERVIÇO,Manutenção Praça/Parques - SMSUZ
"solicito a limpeza do córrego situado na Rua Mário de Jesus Lopes, próximo ao número 68, Bairro – Vila São Paulo, Distrito – César de Souza.",SERVIÇO,Manutenção córrego/Dessasoreamento - SMSUZ
"solicito os estudos para tornar mão única a Rua Amador Bueno da Veiga, Bairro – Rodeio.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"solciito os serviços de implantação de redutor de velocidade tipo lombada e faixa de pedestres na Rua Desidério Jorge, de frente ao portão de entrada e saída da Escola Estadual Vereador Narciso Yague Guimarães, Bairro – Vila Natal.",SERVIÇO,Manutenção Sinalização viária - SMMT
"solicito os serviços de substituição de lâmpadas queimadas, troca de lâmpadas comuns por LED e a substituição de braços de luminárias danificadas nos postes de iluminação pública, nas Ruas do Bairro – Residencial Villa Di César, Distrito César de Souza.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicito a autorização para o uso da praça do Largo da Feira, das 10h às 14h bem como a presença de agentes de trânsito para passeata, se encontrando no Largo do Bom Jesus às 9h30 e iniciando as 11h seguindo pela Rua Doutor Correia, conforme anexo a peça inaugural.",EVENTO,Autorização de Evento - SMSEG
"solicito a autorização para o uso do Largo do Rosário, das 10h às 14h bem como a presença de agentes de trânsito para passeata, se encontrando no Largo do Bom Jesus às 9h30 e iniciando as 11h seguindo pela Rua Doutor Correia, conforme anexo a peça inaugural.",EVENTO,Autorização de Evento - SMSEG
"solicito a autorização para o uso do espaço do Largo da Feira, situado na Rua Guttermann, Distrito – Brás Cubas, para evento religioso a se realizar no dia 25 de outubro, das 16h às 22h.",EVENTO,Autorização de Evento - SMSEG
"solicito o serviço de poda de árvore, situada na Rua Horácia Lima Barbosa, altura do número 138, Bairro – Conjunto Residencial Primavera",SERVIÇO,Poda de Árvore - SMAPA
"solicito o serviço de limpeza na Rua Horácia de Lima Barbosa, ao lado da quadra Poliesportiva, Bairro – Conjunto Jardim Primavera.",SERVIÇO,Limpeza Pública - SMSUZ
"solicito os estudos para a implantação de faixa de pedestres situada na Avenida Japão, em frente ao número 7487, Bairro – Conjunto Santo Angelo",IMPLANTAÇÃO,Implantação de Faixa de Pedestres - SMMT
"solciito a implantação de sinalização de uma vaga de estacionamento destinada a pessoas com deficiências e idosos, na Rua Francisco Martins, ao lado da Paroquia Nossa Senhora do Socorro, Bairro – Jardim Armenia.",IMPLANTAÇÃO,Implantação de Vaga de Estacionamento - SMMT
"solicito a revitalização da sinalização horizontal e vertical no redutor de velocidade, nas proximidades do CEI Pequenos Inventores – CEIM Professora Clara Rodrigues Nahum, na Rua Turquia, número 421, Bairro – Jardim Aeroporto I.",IMPLANTAÇÃO,Implantação de Redutor de Velocidade
"solicito o calçamento da Rua Silvandira no limite com a Avenida Celeste, Bairro – Jardim Margarida.",SERVIÇO,Outros
"solicito o calçamento da Rua Silvandira no limite com a Avenida Celeste, Bairro – Jardim Margarida.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito instalação de um ponto de ônibus na Rua Silvandira, altura do número 311, Bairro – Jardim Félix e Milton.",IMPLANTAÇÃO,Implantação de Recuo de ponto de Ônibus - SMMT
"solicito a instalação de cobertura nos pontos de ônibus situados na Rua Maurício José Oliveira, na altura da Escola Municipal Professor Hélio dos Santos Neves, Bairro – Residencial Novo Horizonte.",IMPLANTAÇÃO,Implantação de Abrigo de ônibus - SMMT
"solicito a instalação de lombada na Rua Maurício José Oliveira, em frente à Escola Municipal Professor Hélio dos Santos Neves, Bairro – Residencial Novo Horizonte.",IMPLANTAÇÃO,Implantação de Lombada - SMMT
"solciito a interdição da Rua Antônio Alves dos Santos, número 89, para a Festa Julina Beneficente, a se realizar no dia 19 de julho das 17h às 23h.",EVENTO,Fechamento de rua
"solicito a implantação de uma lombo faixa e reforço na sinalização horizontal e vertical na Avenida João XXIII, entre as numerações 3825 e 3933, Bairro – Cesar de Souza.",SERVIÇO,Manutenção Sinalização viária - SMMT
"solicito a execução dos serviços de nivelamento e cascalhamento na Rua Aleluia, trecho entre as Ruas do Triunfo e Sete Quedas, Bairro – Botujuru.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito a execução dos serviços de nivelamento e cascalhamento na Rua Aleluia, trecho entre as Ruas do Triunfo e Sete Quedas, Bairro – Botujuru.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito a sinalização horizontal e vertical na rotatória situada na Avenida Nilo Marcatto, próximo ao número 2700, Bairro – Jardim São Pedro.",SERVIÇO,Manutenção Sinalização viária - SMMT
"solicito o reforço na sinalização horizontal na rotatória situada na Avenida Francisco Ferreira Lopes com a Avenida Júlio Simões, Bairro – Brás Cubas",SERVIÇO,Manutenção Sinalização viária - SMMT
"solicito a revitalização e pintura da faixa de pedestres situada no cruzamento entre a Avenida João de Souza Franco, altura do número 295, e a Rua Dolores de Aquino, Bairro – Jundiapeba.",IMPLANTAÇÃO,Implantação de Faixa de Pedestres - SMMT
"solicito a instalação de postes de iluminação pública na Rua Espírito Santo, acesso pela Rua Concórdia, Bairro – Sabaúna",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicito a instalação de postes de iluminação pública na Rua Espírito Santo, acesso pela Rua Concórdia, Bairro – Sabaúna.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicito o aumento de rondas da polícia militar na Rua Brigadeiro Newton Braga, Bairro – Jardim Aeroporto III.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicito a revitalização e pintura na Rua João de Souza Franco, altura do número 299, Bairro – Jundiapeba.",SERVIÇO,Manutenção Sinalização viária - SMMT
"solicito a instalação de lixeira pública na Rua Maria Piedade da Silva, altura do número 679, Bairro – Vila Caputera",IMPLANTAÇÃO,Implantação de Lixeiras Públicas - SMSUZ
"solicito a instalação de lixeira pública na Rua Maria Piedade da Silva, altura do número 679, Bairro – Vila Caputera.",IMPLANTAÇÃO,Implantação de Lixeiras Públicas - SMSUZ
"solicito o serviço de limpeza da via situada na Rua Maria Piedade da Silva, altura do número 679, Bairro – Vila Caputera.",SERVIÇO,Limpeza Pública - SMSUZ
"solicito o serviço de limpeza da via situada na Rua Maria Piedade da Silva, altura do número 679, Bairro – Vila Caputera.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito a reinstalação de placa de sinalização proibitiva para caminhões e carretas no cruzamento da Rua Dona Afife Nassif Jafet com a Rua João Cardoso dos Santos, Bairro – Vila Industrial..",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"solicito a instalação de postes de iluminação pública na Avenida Capitão, polícia militar Archimedes Carlos Munford, entre os números 231 e 251, Bairro – Parque Olímpico",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicito a instalação de postes de iluminação pública na Avenida Capitão, Polícia Militar Archimedes Carlos Munford, entre os números 231 e 251, Bairro – Parque Olímpico.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicito a instalação de barreiras de proteção para impedir a passagem de carro e moto na Rua Professor Ary Silva, altura do número 310, Bairro – Botujuru, Vila São Paulo.",SERVIÇO,Manutenção Gradil de proteção/Escadaria/Viela - SMSUZ
"solicito os serviços de tapa buraco por toda a extensão da Rua Oswaldo Antônio Cecilio, Bairro – Botujuru, Vila São Paulo.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solciito os serviços de tapa buraco por toda a extensão da Rua Luzia dos Santos Cardoso, Bairro – Botujuru, Vila São Paulo.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solciito os serviços de tapa buraco por toda a extensão da Rua Cristóvão Colombo, Bairro – Botujuru, Vila São Paulo.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicito os serviços com o caminhão Hidro jato para a desobstrução das bocas de lobo situadas no entroncamento da Avenida Francisco Rodrigues Filho com a Rua Waldir Paiva de Oliveira Freitas, Bairro – Vila São Paulo.",SERVIÇO,Outros
"solicito a instalação de postes com luminárias na Estrada Servidão Yoiti oride, ao lado da Unidade de Pronto Atendimento – UPA Oropó, Bairro – Porteira Preta.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicito os serviços de troca de iluminação pública, manutenção da rede elétrica e poda das arvores situadas por toda a extensão da Estrada Estiva, Bairro – Taiaçupeba.",SERVIÇO,Poda de Árvore - SMAPA
"solicito a execução dos serviços de retirada de alguns formigueiros que estão entre as arvores da praça situada na Avenida Maria Ozorio do Valle, altura do número 540, Bairro – Alto Ipiranga.",SERVIÇO,Outros
"solciito a implantação de mecanismos de segurança contra velocidade, na Avenida Shozo Sakai, altura do número 850, Bairro – Brás Cubas.",IMPLANTAÇÃO,Implantação de Sinalização viária - SMMT
"solicito a disponibilização de uma caçamba, para o Evento Compartilhando Amor, a se realizar no dia 24 de julho a partir das 08h na Escola Municipal Doutor Milton Cruz, na Rua Antenor de Souza Mello, número 116, Bairro – Jardim Maricá.",EVENTO,Serviços Evento - SMSUZ
"solciitip a instalação de um ponto de ônibus com cobertura na Avenida Laurindo Pereira, número 2978, Bairro – Jundiapeba.",IMPLANTAÇÃO,Implantação de Abrigo de ônibus - SMMT
solicito o patrulhamento ostensivo e rondas específicas da Polícia Militar e da Guarda Civil Municipal.,VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicito a implantação de mecanismos de segurança contra velocidade, na Avenida Francisco Ferreira Lopes, altura do número 7082, próximo ao restaurante Casa dos Assados, Bairro – Vila São Paulo.",IMPLANTAÇÃO,Implantação de Redutor de Velocidade
"solicito a ampliação dos horários na Linha E203 Santo Ângelo, próximos ao horário das 16 às 19h.",ATENDIMENTO,Horário de ônibus - SMMT
"solicito a implantação de área de lazer no Bairro – Vila Nova Aparecida, Distrito de César de Souza.",SERVIÇO,Manutenção Academia da Terceira Idade - SMEL
"solicito a limpeza da via e poda de mato por toda a extensão da Rua Ângico, Bairro – Parque Olímpico.",SERVIÇO,Limpeza Pública - SMSUZ
"solciito a execução dos serviços de reforma e limpeza da entrada da boca de lobo situada na Rua Francisco Martins Feitosa, esquina com a Rua Benedicto Sérvulo Santana, Bairro – Vila Lavinia.",SERVIÇO,Manutenção Boca de lobo/tampa de bueiro - SMUZ
"solicito a execução dos serviços de revitalização de uma tampa de PV, situada na Rua Ipiranga, em frente ao número 378 – Centro.",SERVIÇO,Manutenção Boca de lobo/tampa de bueiro - SMUZ
"solicito os serviços de tapa buraco na Rua José Benedito, altura do número 155 e 44, Bairro – Alto Ipiranga.",SERVIÇO,Recapeamento/Tapa Buraco - SMSUZ
"solicito a implantação de uma lombada e de faixa de pedestres na Avenida Laurindo Pereira, número 75, Bairro – Jundiapeba.",IMPLANTAÇÃO,Implantação de Lombada - SMMT
"solicito os serviços de nivelamento e cascalhamento por toda a extensão da Estrada Etsunari Adachi, Bairro – Porteira Preta.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito os serviços de limpeza do córrego principal que atravessa a Estrada da Gavião e vai até a Rua Beija Flor, Bairro – Biritiba Ussu.",SERVIÇO,Manutenção córrego/Dessasoreamento - SMSUZ
"solicito os serviços de nivelamento e cascalhamento por toda a extensão da Rua dos Canários, travessa do gavião, Bairro – Biritiba Ussu.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito os serviços de limpeza do córrego da linha A, travessa da Rua Massaru Seki, Bairro – Volta Fria.",SERVIÇO,Manutenção córrego/Dessasoreamento - SMSUZ
"solciito a implantação de uma câmera de monitoramento na esquina da Estrada Antiga Imperial com a Estrada do Beija Flor, Bairro – Botujuru. .",IMPLANTAÇÃO,Outros
"solicito os serviços de limpeza e roçagem das laterais ao longo da Estrada Chimical, Bairro- Vila Moraes.",SERVIÇO,Limpeza Pública - SMSUZ
"solicito os serviços de nivelamento e cascalhamento da Estrada Chimical, Bairro – Volta Fria.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito os serviços de alteamento da Travessa na Linha A da Rua Massaru Seki, Bairro – Volta Fria.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solcito os erviços de limpeza e roçada nas proximidades do ponto de ônibus situado na Rodovia Engenheiro Candido do Rego Chaves, número 1469, Bairro – Jundiapeba.",SERVIÇO,Limpeza Pública - SMSUZ
"solicitoos erviços de limpeza e roçada nas proximidades do ponto de ônibus situado na Rodovia Engenheiro Candido do Rego Chaves, número 1469, Bairro – Jundiapeba.",SERVIÇO,Limpeza Pública - SMSUZ
"ssolicito a substituição das lâmpadas convencionais por lâmpadas de LED, na Estrada Municipal Santo Ângelo. Conhecida como Chácara dos Baianos, Bairro – Jundiapeba.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicito a substituição das lâmpadas convencionais por lâmpadas de LED, na Estrada Municipal Santo Ângelo. Conhecida como Chácara dos Baianos, Bairro – Jundiapeba.",SERVIÇO,Manutenção Iluminação Pública - SMSUZ
"solicito os serviços de manutenção do playground situado na Rua Antônio Rozendo de Lima, Bairro – Quatinga.s",SERVIÇO,Outros
"solicito os serviços de manutenção de alambrados, traves e manutenção geral do Campo situado na Rua Antônio Rozendo de Lima, Bairro – Quatinga.",SERVIÇO,Manutenção Quadras/Campos - SMEL
"solicito a implantação de área de lazer no Bairro – Vila Nova Aparecida, Distrito de César de Souza.",IMPLANTAÇÃO,Outros
"solicito o reforço das rondas no dia 15 de agosto nas proximidades do Santuário Nossa Senhora Desatadora dos Nós, situada na Avenida Comendador Fumio Horii, Bairro – Vila Brás Cubas.",VISTORIA,Rondas Ostensivas/Intensificação - SMSEG
"solicito o fechamento parcial e acompanhamento de agentes de trânsito na procissão a se realizar no dia 15 de agosto, com saída às 18h do Santuário Nossa Senhora Desatadora dos Nós, na Avenida Comendador Fumio Horii, Bairro – Vila Brás Cubas.",EVENTO,Agente de trânsito- EVENTO- SMMT
"solciito o reforço das rondas no dia 15 de agosto nas proximidades do Santuário Nossa Senhora Desatadora dos Nós, situada na Avenida Comendador Fumio Horii, Bairro – Vila Brás Cubas.",EVENTO,Guarda Municipal - EVENTO - SMSEG
"solicito a substituição dos divisores de pista situados na Avenida Guilherme Jorge, altura do número 994, Distrito – Jundiapeba.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito o serviço de poda de árvore situada na Rua Aristides Germano Montagnini, número 774, Bairro – Conjunto Residencial Álvaro Bovolenta.",SERVIÇO,Poda de Árvore - SMAPA
"solicito o asfaltamento por toda a extensão da Rua Raposa, Bairro – Vila Jundiai.",SERVIÇO,Manutenção Estradas Rurais/Urbanas - SMUZ
"solicito o serviço de poda de árvore situada na Rua Antônio Candido Vieira, altura do número 797 na calçada em frente ao Restaurante Bamboo.",SERVIÇO,Poda de Árvore - SMAPA
"solicito a utilização de uma tenda para a realização do Evento de Posse da Diretoria da UNEGRO, a se realizar no dia 02 de agosto, na Rua Santa Izabel, altura do número 60 – Centro, das 11h às 18h.",EVENTO,Serviços Evento - SMSUZ
"solciito a instalação de uma faixa elevada na rotatória dos cruzamentos das Ruas Benedito Carvalho Filho com a Gago Coutinho, Bairro – Jardim Aeroporto III.",IMPLANTAÇÃO,Implantação de Faixa de Pedestres - SMMT
"solcito a autorização para o uso de via pública na Rua Capitão Joaquim de Mello Freire, número 40, Bairro – Vila Vitória, para a realização de evento solidário e beneficente, a se realizar no dia 31 de agosto, das 13h às 22h.",EVENTO,Autorização de Evento - SMSEG
"solicito a criação de uma área de embarque e desembarque de alunos, na Avenida Almerinda Vilela Ferreira, altura do número 102, Bairro – Vila São Francisco, Brás Cubas.",IMPLANTAÇÃO,Implantação de Abrigo de ônibus - SMMT
